@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
167.20233,125.889276,110.102178,99.857977,82.453977,71.882995,48.932993,39.664711,45.398452,44.320387,55.521992,61.137666,64.802143,64.037155,57.50508,53.60115,51.181234,46.847763,47.645148,50.901405,55.394207,59.097466,60.309844,59.826697,56.810904,53.295428,50.064792,48.484956,49.889709,52.371066,56.123058,58.809759,59.602645,58.809759,56.123058,52.371066,49.889709,48.484956,50.064792,53.295428,56.810904,59.826697,60.309844,59.097466,55.394207,50.901405,47.645148,46.847763,51.181234,53.60115,57.50508,64.037155,64.802143,61.137666,55.521992,44.320387,45.398452,39.664711,48.932993,71.882995,82.453977,99.857977,110.102178,125.889276,60.02617,standing
26.911629,1.845165,1.914109,1.190434,1.814379,1.023748,1.073276,0.99486,1.205103,1.96422,1.515905,0.335528,0.886756,0.647673,0.483125,0.699798,0.432595,0.516418,0.645625,0.459991,0.59522,0.27187,0.333832,0.336118,0.348174,0.436355,0.37532,0.400484,0.430111,0.411144,0.416069,0.390703,0.377587,0.390703,0.416069,0.411144,0.430111,0.400484,0.37532,0.436355,0.348174,0.336118,0.333832,0.27187,0.59522,0.459991,0.645625,0.516418,0.432595,0.699798,0.483125,0.647673,0.886756,0.335528,1.515905,1.96422,1.205103,0.99486,1.073276,1.023748,1.814379,1.190434,1.914109,1.845165,0.910635,standing
19.260497,0.201408,0.56115,1.223297,1.729825,0.37785,1.664233,0.189606,1.694536,0.215405,0.749641,1.03731,0.272033,0.821131,0.303122,0.349994,0.161754,0.116295,0.357347,0.159007,0.259192,0.110885,0.123033,0.136058,0.12873,0.138631,0.048733,0.074499,0.052956,0.032258,0.068698,0.094009,0.046982,0.094009,0.068698,0.032258,0.052956,0.074499,0.048733,0.138631,0.12873,0.136058,0.123033,0.110885,0.259192,0.159007,0.357347,0.116295,0.161754,0.349994,0.303122,0.821131,0.272033,1.03731,0.749641,0.215405,1.694536,0.189606,1.664233,0.37785,1.729825,1.223297,0.56115,0.201408,0.554839,standing
20.148489,0.698678,1.367523,1.235595,0.523285,0.864292,0.167997,0.916472,0.353912,0.656453,0.433283,0.246908,0.590127,0.226888,0.199704,0.304374,0.373032,0.102703,0.129973,0.056527,0.079894,0.07207,0.031177,0.034341,0.094162,0.054865,0.037691,0.042384,0.04678,0.020919,0.010546,0.023831,0.008336,0.023831,0.010546,0.020919,0.04678,0.042384,0.037691,0.054865,0.094162,0.034341,0.031177,0.07207,0.079894,0.056527,0.129973,0.102703,0.373032,0.304374,0.199704,0.226888,0.590127,0.246908,0.433283,0.656453,0.353912,0.916472,0.167997,0.864292,0.523285,1.235595,1.367523,0.698678,0.442678,standing
20.570157,0.371769,0.273767,1.631384,0.533971,1.40759,0.741818,0.197057,0.80913,0.066063,0.534974,0.223984,0.364964,0.432265,0.139815,0.1379,0.215744,0.184681,0.150252,0.154688,0.13765,0.037331,0.087848,0.076203,0.039606,0.072352,0.03196,0.040935,0.045299,0.003747,0.035409,0.053599,0.00377,0.053599,0.035409,0.003747,0.045299,0.040935,0.03196,0.072352,0.039606,0.076203,0.087848,0.037331,0.13765,0.154688,0.150252,0.184681,0.215744,0.1379,0.139815,0.432265,0.364964,0.223984,0.534974,0.066063,0.80913,0.197057,0.741818,1.40759,0.533971,1.631384,0.273767,0.371769,0.420635,standing
19.960855,0.939483,0.479732,0.087287,1.698482,0.838811,0.938767,0.603945,1.462152,0.474915,0.31925,0.752381,0.357566,0.581416,0.459628,0.014996,0.449183,0.434457,0.011127,0.228315,0.162062,0.136001,0.065823,0.083295,0.112073,0.044198,0.072126,0.085416,0.057973,0.134523,0.04672,0.055173,0.070366,0.055173,0.04672,0.134523,0.057973,0.085416,0.072126,0.044198,0.112073,0.083295,0.065823,0.136001,0.162062,0.228315,0.011127,0.434457,0.449183,0.014996,0.459628,0.581416,0.357566,0.752381,0.31925,0.474915,1.462152,0.603945,0.938767,0.838811,1.698482,0.087287,0.479732,0.939483,0.501065,standing
19.36476,0.594312,0.475135,0.093455,0.154323,0.300587,0.518509,0.128433,0.440707,0.439456,0.636479,0.239556,0.300475,0.272736,0.178346,0.14318,0.139705,0.056963,0.050952,0.056801,0.026721,0.037144,0.103679,0.081359,0.010041,0.026387,0.064126,0.057802,0.005537,0.03565,0.061215,0.023583,0.011943,0.023583,0.061215,0.03565,0.005537,0.057802,0.064126,0.026387,0.010041,0.081359,0.103679,0.037144,0.026721,0.056801,0.050952,0.056963,0.139705,0.14318,0.178346,0.272736,0.300475,0.239556,0.636479,0.439456,0.440707,0.128433,0.518509,0.300587,0.154323,0.093455,0.475135,0.594312,0.36731,standing
19.368734,0.388941,0.517604,0.231458,0.25287,0.114529,0.336829,0.492159,0.164473,0.255096,0.295486,0.207244,0.093254,0.155437,0.237711,0.134291,0.033889,0.040623,0.094162,0.053657,0.059734,0.091495,0.044203,0.064243,0.057156,0.048915,0.052222,0.056406,0.037661,0.05694,0.044705,0.065648,0.064823,0.065648,0.044705,0.05694,0.037661,0.056406,0.052222,0.048915,0.057156,0.064243,0.044203,0.091495,0.059734,0.053657,0.094162,0.040623,0.033889,0.134291,0.237711,0.155437,0.093254,0.207244,0.295486,0.255096,0.164473,0.492159,0.336829,0.114529,0.25287,0.231458,0.517604,0.388941,0.351005,standing
19.743524,0.474458,0.17948,0.07328,0.078629,0.299985,0.471695,0.370564,0.289801,0.193093,0.222889,0.09998,0.177666,0.260455,0.062035,0.109276,0.029417,0.084589,0.040537,0.073011,0.059388,0.052715,0.041324,0.055648,0.051745,0.053167,0.032365,0.05134,0.038001,0.027996,0.048756,0.018169,0.001117,0.018169,0.048756,0.027996,0.038001,0.05134,0.032365,0.053167,0.051745,0.055648,0.041324,0.052715,0.059388,0.073011,0.040537,0.084589,0.029417,0.109276,0.062035,0.260455,0.177666,0.09998,0.222889,0.193093,0.289801,0.370564,0.471695,0.299985,0.078629,0.07328,0.17948,0.474458,0.360569,standing
19.807244,0.069679,0.098596,0.376981,0.197775,0.249018,0.442921,0.047146,0.765264,0.511541,0.084078,0.12044,0.22197,0.334981,0.089177,0.075486,0.078413,0.195081,0.092923,0.089644,0.105179,0.086172,0.074123,0.067402,0.038694,0.101146,0.084629,0.076942,0.069267,0.092946,0.094813,0.065928,0.073408,0.065928,0.094813,0.092946,0.069267,0.076942,0.084629,0.101146,0.038694,0.067402,0.074123,0.086172,0.105179,0.089644,0.092923,0.195081,0.078413,0.075486,0.089177,0.334981,0.22197,0.12044,0.084078,0.511541,0.765264,0.047146,0.442921,0.249018,0.197775,0.376981,0.098596,0.069679,0.377544,standing
